"reads","no.brcd","unmatched.brcd","matched.brcd","sample"
333594,33963,87261,212370,"dn-Exp-m1"
356571,36166,94011,226394,"dn-Exp-m2"
581385,56485,149861,375039,"dn-Exp-mm"
628716,23170,105274,500272,"dn-StG-Day1-m1"
712270,21659,113734,576877,"dn-StG-Day1-m2"
467461,9303,67229,390929,"dn-StG-Day1-mm"
261479,26187,69983,165309,"dn-StG-Day10-m1"
447872,44529,119048,284295,"dn-StG-Day10-m2"
536607,17302,88739,430566,"dn-StG-Day10-mm"
449764,44041,117717,288006,"dn-StG-Day12-m1"
328731,33238,87168,208325,"dn-StG-Day12-m2"
390646,5428,53433,331785,"dn-StG-Day12-mm"
759782,27049,130510,602223,"dn-StG-Day3-m1"
486733,16698,80340,389695,"dn-StG-Day3-m2"
418111,41807,111001,265303,"dn-StG-Day3-mm"
392671,38665,105309,248697,"dn-StG-Day4-m1"
352899,35931,96924,220044,"dn-StG-Day4-m2"
307823,31472,85448,190903,"dn-StG-Day4-mm"
770813,13178,109266,648369,"dn-StG-Day6-m1"
669574,17524,105904,546146,"dn-StG-Day6-m2"
389193,38788,104511,245894,"dn-StG-Day6-mm"
494565,49283,132322,312960,"dn-StG-Day8-m1"
500903,15313,81205,404385,"dn-StG-Day8-m2"
751174,25706,124212,601256,"dn-StG-Day8-mm"
610375,21980,102216,486179,"dn-StRG-Day1-m1"
608658,15472,96234,496952,"dn-StRG-Day1-m2"
626654,20972,107895,497787,"dn-StRG-Day1-mm"
101489,4505,16033,80951,"dn-StRG-Day10-m1"
176591,10964,34818,130809,"dn-StRG-Day10-m2"
66327,1595,9270,55462,"dn-StRG-Day10-mm"
304277,18853,63085,222339,"dn-StRG-Day12-m1"
212730,11420,39229,162081,"dn-StRG-Day12-m2"
132898,3846,16564,112488,"dn-StRG-Day12-mm"
386103,38577,102108,245418,"dn-StRG-Day3-m1"
437132,45271,133417,258444,"dn-StRG-Day3-m2"
262066,26889,70682,164495,"dn-StRG-Day3-mm"
677407,14707,110201,552499,"dn-StRG-Day4-m1"
354153,36815,97694,219644,"dn-StRG-Day4-m2"
325512,33909,90925,200678,"dn-StRG-Day4-mm"
274860,15891,76328,182641,"dn-StRG-Day6-m1"
281636,33699,87588,160349,"dn-StRG-Day6-m2"
297341,8153,63974,225214,"dn-StRG-Day6-mm"
721344,124326,242022,354996,"dn-StRG-Day8-m1"
428901,38871,339504,50526,"dn-StRG-Day8-m2"
51284,1826,8145,41313,"dn-StRG-Day8-mm"
722870,74250,194091,454529,"dn-T0-m1"
380031,38141,101961,239929,"dn-T0-m2"
441034,43150,114469,283415,"dn-T0-mm"
551691,36739,31150,483802,"up-Exp-m1"
418355,6415,21792,390148,"up-Exp-m2"
258559,2339,12774,243446,"up-Exp-mm"
277598,20500,21980,235118,"up-StG-Day1-m1"
269559,18902,16191,234466,"up-StG-Day1-m2"
243306,2858,16012,224436,"up-StG-Day1-mm"
228589,16695,14144,197750,"up-StG-Day10-m1"
308017,21889,18184,267944,"up-StG-Day10-m2"
290215,20559,16785,252871,"up-StG-Day10-mm"
270911,18394,15105,237412,"up-StG-Day12-m1"
351958,25184,20278,306496,"up-StG-Day12-m2"
213996,15560,13117,185319,"up-StG-Day12-mm"
224018,16390,12842,194786,"up-StG-Day3-m1"
508949,9841,26198,472910,"up-StG-Day3-m2"
223812,16197,13959,193656,"up-StG-Day3-mm"
200481,14013,11242,175226,"up-StG-Day4-m1"
459341,33881,26247,399213,"up-StG-Day4-m2"
276192,20736,15912,239544,"up-StG-Day4-mm"
300655,20989,17588,262078,"up-StG-Day6-m1"
138670,11585,8326,118759,"up-StG-Day6-m2"
269309,19379,15719,234211,"up-StG-Day6-mm"
318143,22048,17888,278207,"up-StG-Day8-m1"
426303,28364,24684,373255,"up-StG-Day8-m2"
242355,18415,14180,209760,"up-StG-Day8-mm"
331520,23077,18945,289498,"up-StRG-Day1-m1"
422162,5757,21655,394750,"up-StRG-Day1-m2"
293416,20543,16990,255883,"up-StRG-Day1-mm"
36142,1241,596,34305,"up-StRG-Day10-m1"
118510,6024,1845,110641,"up-StRG-Day10-m2"
108532,5001,1635,101896,"up-StRG-Day10-mm"
287871,21162,153234,113475,"up-StRG-Day12-m1"
133557,6461,1836,125260,"up-StRG-Day12-m2"
121583,4753,1521,115309,"up-StRG-Day12-mm"
553584,37683,33519,482382,"up-StRG-Day3-m1"
405721,28467,24790,352464,"up-StRG-Day3-m2"
443451,10567,25030,407854,"up-StRG-Day3-mm"
490545,11943,25825,452777,"up-StRG-Day4-m1"
648120,16041,35795,596284,"up-StRG-Day4-m2"
483905,33396,30541,419968,"up-StRG-Day4-mm"
221618,16478,41177,163963,"up-StRG-Day6-m1"
639534,45623,70072,523839,"up-StRG-Day6-m2"
241817,19502,23526,198789,"up-StRG-Day6-mm"
265024,18756,95084,151184,"up-StRG-Day8-m1"
550792,37336,343605,169851,"up-StRG-Day8-m2"
132659,7486,2120,123053,"up-StRG-Day8-mm"
270761,6319,13351,251091,"up-T0-m1"
518317,35416,29274,453627,"up-T0-m2"
393762,27266,21627,344869,"up-T0-mm"
